,nodes,techs,costs,Value,source_model
4,netherlands,nuclear,monetary,15284.341173051986,results_plan_cluster_2012_2018_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,72976.83566257895,results_plan_cluster_2012_2018_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22450.722188078053,results_plan_cluster_2012_2018_weights_1_9.netcdf
7,netherlands,solar,monetary,30756.698070037393,results_plan_cluster_2012_2018_weights_1_9.netcdf
0,netherlands,battery,monetary,975.4915776369411,results_plan_cluster_2012_2019_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,28408.011455464573,results_plan_cluster_2012_2019_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18324.67844451182,results_plan_cluster_2012_2019_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,18173.352549879557,results_plan_cluster_2012_2019_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15247.723230083255,results_plan_cluster_2012_2019_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,80781.39970404249,results_plan_cluster_2012_2019_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22505.027771348414,results_plan_cluster_2012_2019_weights_1_9.netcdf
7,netherlands,solar,monetary,25506.137544383288,results_plan_cluster_2012_2019_weights_1_9.netcdf
0,netherlands,battery,monetary,1016.0002175529594,results_plan_cluster_2013_2010_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30910.63492467284,results_plan_cluster_2013_2010_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19094.70482075457,results_plan_cluster_2013_2010_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,28333.64324025669,results_plan_cluster_2013_2010_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15286.350334609251,results_plan_cluster_2013_2010_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,82874.3976520069,results_plan_cluster_2013_2010_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22399.415497634727,results_plan_cluster_2013_2010_weights_1_9.netcdf
7,netherlands,solar,monetary,30334.70554891426,results_plan_cluster_2013_2010_weights_1_9.netcdf
