nodes,techs,carriers,timesteps,flow_in
netherlands,hydrogen_storage_system,power,2019-01-08 16:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 17:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 18:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 19:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 20:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 21:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 22:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 23:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 00:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 01:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 02:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 03:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 04:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 05:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 06:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 07:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 08:00:00,15902839.069182869
netherlands,hydrogen_storage_system,power,2019-01-09 09:00:00,15699107.372177955
netherlands,hydrogen_storage_system,power,2019-01-09 10:00:00,15177428.787545294
netherlands,hydrogen_storage_system,power,2019-01-09 11:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 12:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 13:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 14:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-09 15:00:00,15424293.218255507
netherlands,hydrogen_storage_system,power,2019-01-09 16:00:00,13872627.791476414
netherlands,hydrogen_storage_system,power,2019-01-09 17:00:00,15008322.603432301
netherlands,hydrogen_storage_system,power,2019-01-09 18:00:00,14985231.600613303
netherlands,hydrogen_storage_system,power,2019-01-09 19:00:00,14102155.417875566
netherlands,hydrogen_storage_system,power,2019-01-09 20:00:00,12270623.36779682
netherlands,hydrogen_storage_system,power,2019-01-09 21:00:00,10330490.048005782
netherlands,hydrogen_storage_system,power,2019-01-09 22:00:00,6774618.11118466
netherlands,hydrogen_storage_system,power,2019-01-09 23:00:00,4499944.051405231
netherlands,hydrogen_storage_system,power,2019-01-10 00:00:00,3037848.8229830563
netherlands,hydrogen_storage_system,power,2019-01-10 01:00:00,1090933.9140203055
