tvp,scenario_name,model_name,dates,date_range,id
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.75","2010,2019",10,c02d997bb96e99bf4fbe
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.99","2010,2019",10,448b298e2accd79a4c5c
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=1","2010,2019",10,bdbe5b04c1c5f37fd543
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, W_proxy=0.0","2010,2019",10,8c6e7f6d4554f09479cc
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.25","2010,2019",10,8e7fb3f221f64eb641ea
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.5","2010,2019",10,74267f42688cf32aeab4
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.75","2010,2019",10,6b4742e30d45ab37b451
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.99","2010,2019",10,49f990711703f3a4922a
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=1","2010,2019",10,86e6bfd3ffab1a7c0b91
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2011-2010-2008-2019-2017-2015-2012-2007-2018-2013__as_2010-2019__03.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, W_proxy=0.0","2010,2019",10,dde4d7fedb274a610d37
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2011-2010-2008-2019-2017-2015-2012-2007-2018-2013__as_2010-2019__03.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=0.25","2010,2019",10,f97f92fb1db50c73abe7
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2011-2010-2008-2019-2017-2015-2012-2007-2018-2013__as_2010-2019__03.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=0.5","2010,2019",10,4d51ce224327c1a9b03d
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2011-2010-2008-2019-2017-2015-2012-2007-2018-2013__as_2010-2019__03.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=0.75","2010,2019",10,c3f336488c0d20b38b76
